*1000Hz	-39.9
	
20.00	-0.7
20.55	-0.7
21.11	-0.6
21.69	-0.5
22.29	-0.4
22.90	-0.3
23.53	-0.2
24.18	-0.1
24.84	0.0
25.52	0.0
26.22	0.1
26.94	0.2
27.68	0.3
28.44	0.4
29.22	0.4
30.03	0.5
30.85	0.5
31.70	0.6
32.57	0.6
33.46	0.6
34.38	0.6
35.33	0.7
36.30	0.7
37.29	0.7
38.32	0.6
39.37	0.6
40.45	0.6
41.56	0.6
42.70	0.6
43.87	0.7
45.08	0.7
46.32	0.7
47.59	0.8
48.90	0.8
50.24	0.9
51.62	1.0
53.03	1.1
54.49	1.3
55.99	1.4
57.52	1.5
59.10	1.6
60.73	1.7
62.39	1.7
64.11	1.8
65.87	1.8
67.68	1.8
69.54	1.8
71.44	1.7
73.41	1.7
75.42	1.7
77.49	1.7
79.62	1.7
81.81	1.8
84.05	1.8
86.36	1.9
88.73	1.9
91.17	2.0
93.67	2.0
96.25	2.0
98.89	2.0
101.60	2.0
104.39	1.9
107.26	1.9
110.21	1.8
113.23	1.7
116.34	1.7
119.54	1.5
122.82	1.4
126.19	1.3
129.66	1.2
133.22	1.1
136.87	0.9
140.63	0.8
144.50	0.6
148.46	0.5
152.54	0.4
156.73	0.3
161.03	0.3
165.45	0.3
170.00	0.3
174.67	0.3
179.46	0.3
184.39	0.4
189.45	0.5
194.65	0.6
200.00	0.7
205.49	0.8
211.13	0.8
216.93	0.8
222.89	0.8
229.01	0.8
235.30	0.8
241.76	0.9
248.40	1.0
255.22	1.0
262.23	1.1
269.43	1.2
276.83	1.2
284.43	1.3
292.24	1.4
300.26	1.4
308.51	1.3
316.98	1.2
325.68	1.1
334.63	1.0
343.81	1.0
353.26	1.0
362.96	1.1
372.92	1.1
383.16	1.1
393.68	1.1
404.49	1.1
415.60	1.0
427.01	1.0
438.74	1.0
450.79	1.0
463.17	0.9
475.88	0.8
488.95	0.8
502.38	0.7
516.17	0.6
530.35	0.6
544.91	0.5
559.87	0.6
575.25	0.6
591.04	0.6
607.27	0.6
623.95	0.6
641.08	0.6
658.68	0.6
676.77	0.6
695.35	0.5
714.45	0.5
734.07	0.4
754.22	0.4
774.94	0.4
796.21	0.4
818.08	0.4
840.54	0.4
863.62	0.4
887.34	0.4
911.70	0.4
936.74	0.3
962.46	0.2
988.89	0.1
1016.04	0.0
1043.94	0.0
1072.61	0.1
1102.06	0.2
1132.33	0.2
1163.42	0.2
1195.37	0.2
1228.19	0.1
1261.91	0.1
1296.57	0.0
1332.17	-0.1
1368.75	-0.1
1406.34	-0.2
1444.95	-0.3
1484.63	-0.3
1525.40	-0.2
1567.28	-0.2
1610.32	-0.2
1654.54	-0.2
1699.97	-0.3
1746.65	-0.2
1794.61	-0.2
1843.89	-0.2
1894.53	-0.3
1946.55	-0.5
2000.00	-0.6
2054.92	-0.4
2111.35	-0.3
2169.32	-0.3
2228.89	-0.5
2290.10	-0.8
2352.98	-0.9
2417.59	-0.6
2483.98	-0.1
2552.19	0.0
2622.27	0.1
2694.27	0.1
2768.26	0.2
2844.27	0.3
2922.37	0.6
3002.62	0.8
3085.07	1.0
3169.79	1.1
3256.83	1.1
3346.26	1.0
3438.14	0.9
3532.55	0.8
3629.56	0.7
3729.22	0.6
3831.62	0.8
3936.84	1.0
4044.94	1.3
4156.01	1.3
4270.14	1.1
4387.39	0.9
4507.87	0.5
4631.65	0.1
4758.83	0.2
4889.51	0.7
5023.77	1.2
5161.72	1.5
5303.46	1.4
5449.09	1.1
5598.72	0.8
5752.46	0.9
5910.42	1.1
6072.72	1.2
6239.47	0.9
6410.80	0.4
6586.84	0.2
6767.71	0.6
6953.55	1.3
7144.49	1.4
7340.67	0.9
7542.24	0.7
7749.35	1.4
7962.14	2.7
8180.78	3.1
8405.42	2.9
8636.23	2.7
8873.37	2.9
9117.03	3.6
9367.38	3.9
9624.61	3.4
9888.89	2.7
10160.44	2.8
10439.44	2.9
10726.10	2.6
11020.63	2.4
11323.25	2.3
11634.18	2.2
11953.65	2.3
12281.89	2.3
12619.15	2.1
12965.66	2.5
13321.69	2.8
13687.50	2.1
14063.35	1.6
14449.52	2.0
14846.30	1.8
15253.97	1.6
15672.84	2.2
16103.21	2.3
16545.39	2.3
16999.72	2.4
17466.52	2.7
17946.14	2.4
18438.94	2.4
18945.26	3.6
19465.49	3.7
20000.00	4.6
